,batsman,innings,runs,batting_team,ball,dismissals,sixes,fours,dots,ones,twos,threes,hundreds,fifties,thirties,highest_score,matches_x,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,surname,initial
39,Diana Baig,21,68.0,Pakistan,117,15,0,2,49,54,3,0,0.0,0.0,0.0,12.0,21,21,58.119658119658126,7.8,58.5,56.60377358490566,4.533333333333333,41.88034188034188,2017/18,2024,Baig,D Baig
40,Dilara Akter,15,183.0,Bangladesh,195,13,2,24,95,40,16,1,0.0,0.0,2.0,39.0,15,15,93.84615384615384,15.0,7.5,49.34210526315789,14.076923076923077,48.717948717948715,2022/23,2024,Akter,D Akter
41,Ellyse Perry,76,1983.0,Australia,1729,61,51,177,598,753,98,5,1.0,11.0,15.0,120.0,76,76,114.69057258530944,28.34426229508197,7.583333333333333,66.29986244841815,32.50819672131148,34.58646616541353,2013,2023/24,Perry,E Perry
42,Eden Carson,5,9.0,New Zealand,15,1,0,0,6,7,1,0,0.0,0.0,0.0,4.0,5,5,60.0,15.0,15.0,64.28571428571429,9.0,40.0,2022/23,2024,Carson,E Carson
43,Fran Jonas,5,9.0,New Zealand,30,1,0,0,21,7,1,0,0.0,0.0,0.0,4.0,5,5,30.0,30.0,30.0,31.03448275862069,9.0,70.0,2022,2023,Jonas,F Jonas
44,Freya Kemp,12,124.0,England,101,7,5,12,36,32,7,0,0.0,1.0,0.0,51.0,12,12,122.77227722772277,14.428571428571429,5.9411764705882355,61.33333333333333,17.714285714285715,35.64356435643564,2022,2024,Kemp,F Kemp
45,Fahima Khatun,43,521.0,Bangladesh,533,40,1,43,165,238,51,1,0.0,3.0,3.0,64.0,43,43,97.74859287054409,13.325,12.113636363636363,75.38461538461539,13.025,30.95684803001876,2013/14,2024,Khatun,F Khatun
46,G Jafta,1,7.0,South Africa,6,1,0,0,1,3,2,0,0.0,0.0,0.0,7.0,1,1,116.66666666666667,6.0,6.0,116.66666666666667,7.0,16.666666666666664,2023/24,2023/24,Jafta,G Jafta
47,Georgia Wareham,16,183.0,Australia,126,12,2,25,41,38,15,1,0.0,1.0,1.0,57.0,16,16,145.23809523809524,10.5,4.666666666666667,74.73684210526315,15.25,32.53968253968254,2019,2023/24,Wareham,G Wareham
48,Georgia Plimmer,21,173.0,New Zealand,209,16,2,14,94,74,14,1,0.0,0.0,0.0,28.0,21,21,82.77511961722487,13.0625,13.0625,57.377049180327866,10.8125,44.97607655502392,2022,2024,Plimmer,G Plimmer
49,Grace Harris,26,462.0,Australia,282,15,20,49,75,111,16,1,0.0,1.0,5.0,64.0,26,26,163.82978723404256,18.8,4.086956521739131,71.92118226600985,30.8,26.595744680851062,2015,2023/24,Harris,G Harris
50,Hasini Perera,62,943.0,Sri Lanka,1202,64,2,104,599,371,63,6,0.0,4.0,6.0,92.0,62,62,78.45257903494176,18.78125,11.339622641509434,49.56689124157844,14.734375,49.833610648918466,2013/14,2024,Perera,H Perera
51,Gull Feroza,13,254.0,Pakistan,259,10,0,35,121,70,22,0,0.0,2.0,1.0,62.0,13,13,98.06949806949807,25.9,7.4,53.52112676056338,25.4,46.71814671814672,2022,2024,Feroza,G Feroza
52,Harmanpreet Kaur,111,3478.0,India,3174,125,87,338,1212,1258,164,6,3.0,19.0,27.0,206.0,111,111,109.57781978575929,25.392,7.468235294117647,60.75757575757576,27.824,38.18525519848771,2009,2024,Kaur,H Kaur
53,Heather Knight,97,2664.0,England,2233,93,46,285,731,950,137,8,5.0,6.0,19.0,216.0,97,97,119.3013882669055,24.010752688172044,6.746223564954683,68.3461117196057,28.64516129032258,32.73622928795343,2012,2024,Knight,H Knight
