player_id,batsman,innings,runs,ball,dismissals,sixes,fours,dots,ones,twos,threes,SR,BPD,BPB,NBDRY_SR,AVG,Dot_percentage
1696,TJ Mahe,4,26,31,4,0,4,19,6,2,0,83.87096774,7.75,7.75,37.03703704,6.5,61.29032258
1697,TJ Vlaeminck,1,0,4,2,0,0,4,0,0,0,0,2,4,0,0,100
1698,TJE Chiracheque,4,18,49,5,0,2,28,6,2,0,36.73469388,9.8,24.5,27.77777778,3.6,57.14285714
1699,TJP Weo,2,3,12,1,0,0,5,3,0,0,25,12,12,37.5,3,41.66666667
1700,TM Faimalo,3,8,35,1,0,0,24,8,0,0,22.85714286,35,35,25,8,68.57142857
1701,TM McGrath,32,963,729,21,16,133,271,242,42,3,132.0987654,34.71428571,4.89261745,60.03584229,45.85714286,37.17421125
1702,TMA Leslie,11,36,93,9,0,2,61,20,4,0,38.70967742,10.33333333,46.5,32.94117647,4,65.59139785
1703,TMM Newton,5,18,35,5,0,1,17,10,2,0,51.42857143,7,35,48.27586207,3.6,48.57142857
1704,TR Sadhu,1,2,10,1,0,0,8,2,0,0,20,10,10,20,2,80
1705,TRR Sharfudheen,1,3,25,1,0,0,17,3,0,0,12,25,25,15,3,68
1706,TS Cordes,1,0,12,1,0,0,12,0,0,0,0,12,12,0,0,100
1707,TS Erichsen,2,62,84,1,0,7,31,18,8,0,73.80952381,84,12,59.64912281,62,36.9047619
1708,TS Omary,6,51,107,11,0,4,72,16,8,1,47.6635514,9.727272727,26.75,36.08247423,4.636363636,67.28971963
1709,TS Sekhukhune,4,11,29,6,0,0,16,11,0,0,37.93103448,4.833333333,29,40.74074074,1.833333333,55.17241379
1710,TT Aung,3,17,41,1,0,0,22,13,2,0,41.46341463,41,41,45.94594595,17,53.65853659
1711,TT Beaumont,74,2480,2270,101,27,299,876,771,157,9,109.2511013,22.47524752,6.963190184,61.33480419,24.55445545,38.59030837
1712,TT Soe,9,75,140,9,0,4,77,36,10,1,53.57142857,15.55555556,35,47.58064516,8.333333333,55
1713,TW Hamid,1,12,7,0,0,2,0,2,1,0,171.4285714,7,3.5,133.3333333,12,0
