,bowler,innings,balls,runs,wkts,sixes,fours,dots,three_wicket_hauls,maiden_overs,fantasy_points,bbi,dot%,avg,fantasy_points_per_match,sr,econ
285,Shemaine Campbelle,14,259,224,10,1,16,92,0.0,1.0,318,2,35.521235521235525,22.4,22.714285714285715,25.9,5.1891891891891895
286,Sheneta Grimmond,9,112,126,6,0,14,38,1.0,2.0,170,3,33.92857142857143,21.0,18.88888888888889,18.666666666666668,6.75
287,Shikha Pandey,32,434,485,18,10,61,174,1.0,14.0,510,3,40.09216589861751,26.944444444444443,15.9375,24.11111111111111,6.7050691244239635
288,Shohely Akhter,4,55,35,6,0,2,30,1.0,6.0,208,4,54.54545454545454,5.833333333333333,52.0,9.166666666666666,3.8181818181818183
289,Shorifa Khatun,6,87,117,2,3,14,31,0.0,0.0,50,1,35.63218390804598,58.5,8.333333333333334,43.5,8.068965517241379
290,Shorna Akter,8,86,94,6,1,11,33,1.0,1.0,182,3,38.372093023255815,15.666666666666666,22.75,14.333333333333334,6.558139534883721
291,Shreyanka Patil,9,186,200,14,3,26,78,1.0,2.0,438,3,41.935483870967744,14.285714285714286,48.666666666666664,13.285714285714286,6.451612903225806
292,Song Yangyang,1,8,11,0,0,2,2,0.0,0.0,0,0,25.0,,0.0,,8.25
293,Soniya Dabir,2,26,18,1,0,2,15,0.0,2.0,31,1,57.692307692307686,18.0,15.5,26.0,4.153846153846154
294,Sophia Dunkley,2,24,13,1,0,1,14,0.0,0.0,45,1,58.333333333333336,13.0,22.5,24.0,3.25
295,Sophie Devine,62,696,727,38,7,87,259,4.0,13.0,1140,4,37.212643678160916,19.13157894736842,18.387096774193548,18.31578947368421,6.267241379310345
296,Sophie Ecclestone,52,824,809,55,18,86,385,8.0,49.0,1773,4,46.72330097087379,14.709090909090909,34.09615384615385,14.981818181818182,5.890776699029126
297,Sophie Molineux,19,309,286,14,6,25,127,2.0,15.0,468,3,41.10032362459547,20.428571428571427,24.63157894736842,22.071428571428573,5.553398058252427
298,Sripali Weerakkody,9,95,91,6,1,14,48,0.0,0.0,176,2,50.526315789473685,15.166666666666666,19.555555555555557,15.833333333333334,5.747368421052632
299,Stacy Lackay,1,24,59,2,5,4,4,0.0,0.0,44,2,16.666666666666664,29.5,44.0,12.0,14.75
300,Stacy-Ann King,12,105,95,1,1,6,31,0.0,1.0,35,1,29.523809523809526,95.0,2.9166666666666665,105.0,5.428571428571429
301,Stafanie Taylor,34,605,567,31,7,42,223,3.0,13.0,949,4,36.85950413223141,18.29032258064516,27.91176470588235,19.516129032258064,5.623140495867768
302,Sugandika Kumari,46,696,718,24,7,83,278,1.0,10.0,746,3,39.94252873563218,29.916666666666668,16.217391304347824,29.0,6.189655172413793
