,batsman,runs,ball,innings,matches_x,dismissals,sixes,fours,dots,ones,twos,threes,batting_team,hundreds,fifties,thirties,highest_score,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,matches,surname,initial
343,Smriti Mandhana,1354,1146,82,82,52,28,186,491,343,48,1,India,0,8,8,83,82,118.15008726003491,22.03846153846154,5.355140186915888,50.05662514156285,26.03846153846154,42.84467713787086,2013/14,2024,82,Mandhana,S Mandhana
344,Sneh Rana,4,8,1,1,1,0,0,4,4,0,0,India,0,0,0,4,1,50.0,8.0,8.0,50.0,4.0,50.0,2021,2021,1,Rana,S Rana
345,Sobhana Mostary,185,258,20,20,12,0,24,134,66,7,3,Bangladesh,0,0,0,29,20,71.70542635658916,21.5,10.75,42.38095238095238,15.416666666666666,51.93798449612403,2022/23,2024,20,Mostary,S Mostary
346,Song Yangyang,3,7,1,1,0,0,0,4,3,0,0,West Indies,0,0,0,3,1,42.857142857142854,7.0,7.0,42.857142857142854,3.0,57.14285714285714,2024,2024,1,Yangyang,S Yangyang
348,Sophia Dunkley,422,400,32,32,22,5,44,154,141,36,1,England,0,1,5,56,32,105.5,18.181818181818183,8.16326530612245,65.06024096385542,19.181818181818183,38.5,2018/19,2024,32,Dunkley,S Dunkley
349,Sophie Devine,1503,1239,64,64,47,47,151,452,453,72,5,New Zealand,1,10,12,105,64,121.30750605326877,26.361702127659573,6.257575757575758,62.32179226069247,31.97872340425532,36.48103309120258,2009,2024,64,Devine,S Devine
350,Sophie Ecclestone,225,180,27,27,14,9,19,60,69,13,0,England,0,0,1,33,27,125.0,12.857142857142858,6.428571428571429,66.90140845070422,16.071428571428573,33.33333333333333,2017/18,2024,27,Ecclestone,S Ecclestone
351,Sophie Molineux,38,46,7,7,6,0,4,20,20,1,0,Australia,0,0,0,18,7,82.6086956521739,7.666666666666667,11.5,53.65853658536586,6.333333333333333,43.47826086956522,2017/18,2023/24,7,Molineux,S Molineux
352,Sultana Khatun,122,158,24,24,15,0,10,71,63,8,1,Bangladesh,0,0,0,24,24,77.21518987341773,10.533333333333333,15.8,57.34265734265735,8.133333333333333,44.936708860759495,2012/13,2024,24,Khatun,S Khatun
354,Sune Luus,623,621,51,51,27,6,62,233,255,39,2,South Africa,0,2,4,71,51,100.3220611916264,23.0,9.132352941176471,64.08317580340265,23.074074074074073,37.52012882447665,2013/14,2023/24,51,Luus,S Luus
355,Suzie Bates,1491,1363,66,66,45,17,161,517,493,108,12,New Zealand,1,8,13,124,66,109.39104915627294,30.288888888888888,7.657303370786517,65.929203539823,33.13333333333333,37.93103448275862,2009,2024,66,Bates,S Bates
356,Syeda Aroob Shah,3,4,2,2,1,0,0,2,1,1,0,Pakistan,0,0,0,2,2,75.0,4.0,4.0,75.0,3.0,50.0,2023,2024,2,Shah,S Shah
358,T Chetty,126,201,22,22,18,1,8,101,74,7,0,South Africa,0,0,1,34,22,62.68656716417911,11.166666666666666,22.333333333333332,48.35164835164835,7.0,50.24875621890548,2011/12,2021,22,Chetty,T Chetty
363,TS Cordes,0,12,1,1,1,0,0,12,0,0,0,South Africa,0,0,0,0,1,0.0,12.0,12.0,0.0,0.0,100.0,2012/13,2012/13,1,Cordes,T Cordes
365,Tahlia McGrath,410,332,19,19,12,9,51,128,119,15,1,Australia,0,3,2,78,19,123.49397590361446,27.666666666666668,5.533333333333333,57.79467680608364,34.166666666666664,38.55421686746988,2021/22,2023/24,19,McGrath,T McGrath
367,Tazmin Brits,816,710,37,37,25,16,93,285,241,49,3,South Africa,0,7,4,81,37,114.92957746478874,28.4,6.513761467889908,60.207612456747405,32.64,40.140845070422536,2018,2024,37,Brits,T Brits
368,Tuba Hassan,24,25,5,5,2,0,3,12,8,2,0,Pakistan,0,0,0,22,5,96.0,12.5,8.333333333333334,54.54545454545454,12.0,48.0,2022,2024,5,Hassan,T Hassan
369,Tumi Sekhukhune,4,12,2,2,2,0,0,7,4,0,0,South Africa,0,0,0,3,2,33.33333333333333,6.0,12.0,36.36363636363637,2.0,58.333333333333336,2018/19,2019/20,2,Sekhukhune,T Sekhukhune
370,U Chetry,9,7,1,1,1,0,1,2,3,1,0,India,0,0,0,9,1,128.57142857142858,7.0,7.0,83.33333333333334,9.0,28.57142857142857,2024,2024,1,Chetry,U Chetry
377,WK Dilhari,159,160,24,24,16,0,16,63,56,15,3,Sri Lanka,0,0,0,26,24,99.375,10.0,10.0,69.34306569343066,9.9375,39.375,2018,2024,24,Dilhari,W Dilhari
378,Y Fourie,4,7,1,1,1,0,1,6,0,0,0,South Africa,0,0,0,4,1,57.14285714285714,7.0,7.0,0.0,4.0,85.71428571428571,2018/19,2018/19,1,Fourie,Y Fourie
379,Y Potgieter,5,7,1,1,0,0,1,3,1,0,0,South Africa,0,0,0,5,1,71.42857142857143,7.0,7.0,25.0,5.0,42.857142857142854,2012/13,2012/13,1,Potgieter,Y Potgieter
380,Y van der Westhuizen,6,6,1,1,1,0,1,4,0,1,0,South Africa,0,0,0,6,1,100.0,6.0,6.0,40.0,6.0,66.66666666666666,2013/14,2013/14,1,Westhuizen,Y Westhuizen
381,Yastika Bhatia,144,158,10,10,8,1,18,80,48,9,0,India,0,0,2,36,10,91.13924050632912,19.75,8.31578947368421,48.175182481751825,18.0,50.63291139240506,2021/22,2024,10,Bhatia,Y Bhatia
382,Z Mali,2,3,1,1,0,0,0,2,0,1,0,South Africa,0,0,0,2,1,66.66666666666666,3.0,3.0,66.66666666666666,2.0,66.66666666666666,2018/19,2018/19,1,Mali,Z Mali
383,Zaida James,43,64,5,5,3,2,2,35,15,4,0,West Indies,0,0,0,21,5,67.1875,21.333333333333332,16.0,42.592592592592595,14.333333333333334,54.6875,2022/23,2024,5,James,Z James
