batsman,runs,ball,innings,matches_x,dismissals,sixes,fours,dots,ones,twos,threes,batting_team,hundreds,fifties,thirties,highest_score,matches_y,fantasy_points,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,fantasy_points_per_match,debut_year,final_year,matches
Jahanara Alam,58,62,13,13,7,1,2,23,25,5,3,Bangladesh,,,,12,13,88,93.5483871,8.857142857,20.66666667,78.57142857,8.285714286,37.09677419,6.769230769,2012/13,2022/23,13
Jemimah Rodrigues,1281,1122,63,63,43,9,145,365,502,68,3,India,,6,13,76,63,2545,114.171123,26.09302326,7.285714286,68.97654584,29.79069767,32.5311943,40.3968254,2017/18,2024,63
Jess Kerr,28,26,8,8,4,0,3,8,12,2,0,New Zealand,,,,10,8,151,107.6923077,6.5,8.666666667,72.72727273,7,30.76923077,18.875,2020/21,2024,8
Karishma Ramharack,11,23,5,5,2,0,0,14,5,3,0,West Indies,,,,3,5,12,47.82608696,11.5,23,50,5.5,60.86956522,2.4,2019,2024,5
Katherine Fraser,38,56,9,9,6,0,3,33,12,7,0,Scotland,,,,9,9,57,67.85714286,9.333333333,18.66666667,50,6.333333333,58.92857143,6.333333333,2021,2024,9
Kathryn Bryce,731,696,35,35,18,5,91,284,222,53,3,Scotland,,7,3,73,35,1490,105.0287356,38.66666667,7.25,59.96441281,40.61111111,40.8045977,42.57142857,2018,2024,35
Kavisha Dilhari,49,90,19,19,8,0,2,47,30,4,1,Sri Lanka,,,,6,19,63,54.44444444,11.25,45,50,6.125,52.22222222,3.315789474,2012/13,2023,19
Kawya Kavindi,6,4,1,1,0,0,1,1,0,1,0,Sri Lanka,,,,6,1,7,150,4,4,100,6,25,7,2024,2024,1
Kim Garth,2,4,1,1,0,0,0,2,2,0,0,Australia,,,,2,1,489,50,4,4,50,2,50,489,2023/24,2023/24,1
Laura Wolvaardt,858,735,41,41,28,12,106,274,268,41,4,South Africa,1,5,6,102,41,2063,116.7346939,26.25,6.228813559,61.66950596,30.64285714,37.27891156,50.31707317,2018,2024,41
Lea Tahuhu,135,113,17,17,14,4,12,43,37,10,2,New Zealand,,,,27,17,241,119.4690265,8.071428571,7.0625,68.47826087,9.642857143,38.05309735,14.17647059,2011/12,2024,17
Leigh Kasperek,31,40,11,11,8,0,2,18,13,5,0,New Zealand,,,,5,11,70,77.5,5,20,63.88888889,3.875,45,6.363636364,2017/18,2024,11
Lorna Jack,374,445,31,31,23,0,34,188,149,40,3,Scotland,,2,1,57,31,544,84.04494382,19.34782609,13.08823529,62.63157895,16.26086957,42.24719101,17.5483871,2018,2024,31
Maddy Green,504,479,45,45,29,5,45,162,211,34,5,New Zealand,,,5,45,45,1014,105.2192067,16.51724138,9.58,71.3592233,17.37931034,33.82045929,22.53333333,2013/14,2024,45
Maia Bouchier,432,365,23,23,22,4,52,135,132,31,2,England,,1,4,91,23,653,118.3561644,16.59090909,6.517857143,66.66666667,19.63636364,36.98630137,28.39130435,2021,2024,23
Marizanne Kapp,811,773,52,52,41,9,76,289,305,65,6,South Africa,,4,4,75,52,1468,104.915912,18.85365854,9.094117647,68.12030075,19.7804878,37.38680466,28.23076923,2012/13,2024,52
Marufa Akter,1,9,4,4,1,0,0,8,1,0,0,Bangladesh,,,,1,4,3,11.11111111,9,9,11.11111111,1,88.88888889,0.75,2022/23,2024,4
Megan McColl,128,158,14,14,9,1,7,62,62,16,0,Scotland,,,1,30,14,228,81.01265823,17.55555556,19.75,67.14285714,14.22222222,39.24050633,16.28571429,2019,2024,14
Megan Schutt,7,15,7,7,4,0,0,6,7,0,0,Australia,,,,2,7,21,46.66666667,3.75,15,53.84615385,1.75,40,3,2015,2023/24,7
Ritu Moni,186,243,30,30,17,0,14,101,96,17,0,Bangladesh,,,1,39,30,360,76.54320988,14.29411765,17.35714286,60.74766355,10.94117647,41.56378601,12,2012/13,2024,30
Muneeba Ali,673,690,39,39,29,4,80,296,216,49,5,Pakistan,1,2,5,102,39,1313,97.53623188,23.79310345,8.214285714,58.12720848,23.20689655,42.89855072,33.66666667,2018,2024,39
Murshida Khatun,550,601,32,32,19,3,58,247,206,44,2,Bangladesh,,4,2,80,32,1060,91.51414309,31.63157895,9.852459016,60.12024048,28.94736842,41.09816972,33.125,2019,2024,32
Nadine de Klerk,331,304,26,26,12,6,29,109,123,25,2,South Africa,,,2,44,26,572,108.8815789,25.33333333,8.685714286,69.11196911,27.58333333,35.85526316,22,2017/18,2024,26
Nahida Akter,64,89,18,18,9,0,4,43,27,9,1,Bangladesh,,,,15,18,117,71.91011236,9.888888889,22.25,60,7.111111111,48.31460674,6.5,2015/16,2024,18
Nashra Sandhu,9,28,10,10,4,0,0,20,7,1,0,Pakistan,,,,3,10,-8,32.14285714,7,28,32.14285714,2.25,71.42857143,-0.8,2017/18,2024,10
Nat Sciver-Brunt,384,254,13,13,9,2,59,68,100,18,0,England,,3,2,81,13,718,151.1811024,28.22222222,4.163934426,73.11827957,42.66666667,26.77165354,55.23076923,2022/23,2024,13
Nida Dar,943,903,69,69,43,20,80,316,391,56,0,Pakistan,,5,3,75,69,1941,104.4296788,21,9.03,65.92398427,21.93023256,34.9944629,28.13043478,2012,2024,69
Nigar Sultana,964,1039,55,55,26,9,97,423,405,54,3,Bangladesh,1,6,8,113,55,2106,92.78152069,39.96153846,9.801886792,58.98305085,37.07692308,40.71222329,38.29090909,2015/16,2024,55
